name,requests
US,386107
FR,7713
HK,6752
NL,1908
SG,1423
CA,1033
JP,991
SE,901
DE,741
KR,740
IE,535
IN,496
AU,493
GB,382
CH,328
BR,285
CN,281
NO,208
PL,159
RU,148
ID,145
BE,115
UA,105
RO,104
BG,84
TW,67
AE,59
ES,57
LT,41
PH,31
T1,25
CZ,24
FI,20
KE,12
SD,12
VN,10
AT,5
BD,5
SK,4
NZ,3
GR,3
TR,3
AR,2
LV,2
SA,2
MY,2
HU,1
JO,1
UZ,1
NI,1
MA,1
SN,1
IT,1
NG,1
IQ,1
GT,1
ZA,1
